disp,ra,dec,orbper,duration,depth,rad,steff,logg,srad
1,112.357708,-12.69596,2.1713484,2.0172196,656.8860989,5.8181633,10249.0,4.19,2.16986
1,122.580465,-5.513852,1.9316462,3.166,1286.0,11.2154,7070.0,4.03,2.01
1,104.726966,-10.580455,1.8675574,1.408,1500.0,23.7529,8924.0,,5.73
1,110.559945,-25.207017,2.74323,3.167,383.41,,5388.5,4.15,
1,122.178195,-48.802811,3.5730141,3.37,755.0,11.3113,9219.0,4.14,2.15
1,120.704811,-11.101521,4.5505945,2.654,3731.0,7.10841,5613.0,,1.09
1,124.359239,-27.273521,2.5047918,4.3797563,2270.5402194,8.6950898,6616.0,,1.53429
1,112.752393,-4.463359,6.9989206,3.953,2840.0,14.7752,6596.0,3.71,2.7
1,109.382839,13.395219,2.0483755,2.767,483.0,3.19621,6858.5,4.2,1.57
1,111.667845,-24.462111,1.9600277,2.0065257,1707.6272693,,8868.7,,
0,318.737012,-55.871863,1.4303699,1.6165994,18960.7122944,13.1874503,5600.0,4.48851,0.890774
1,112.293981,-21.832912,0.6808702,2.4634563,1507.8006889,5.9115908,9438.0,,1.0
1,113.984761,-32.841999,2.4704981,2.191,250.0,1.44656,5413.7,4.46,0.94
1,117.095285,6.785064,0.884182,1.621,1890.0,24.8132,8928.0,3.92,2.72
1,107.286063,-31.933523,5.4255548,3.9637474,14939.6342222,,8868.7,,
1,103.561602,-34.22282,1.4095184,0.9484999,2841.5103258,,9307.0,,
1,122.895964,-27.971896,1.3730466,2.5708515,1301.5065338,42.1479417,4897.0,,6.7996101
1,116.110771,-36.098285,12.6889415,7.9201001,3232.8527885,14.0608342,7601.0,4.31,1.53641
1,124.726411,-37.78325,1.10422,2.37,14177.7,21.0448,6995.2,4.07,1.61
1,111.716019,-50.266567,4.95912,2.509,7440.0,22.9123,5889.0,3.86,2.0
1,120.147994,-54.878552,5.2341008,3.7078139,20796.9416293,24.2931408,7645.0,4.3,1.56203
0,87.139821,-63.988329,4.4119378,3.65,15062.0,15.4706,6280.0,4.32092,1.21
1,128.381976,-43.828421,3.28892,3.793,10518.9,,8734.2,4.1,
1,119.30075,-42.999149,1.90879,1.909,618.482,3.34688,6022.6,4.52,1.22
1,162.96491,-5.788708,3.09574,4.475,380.0,3.4262,6084.0,4.13,1.41
1,120.837688,-51.345626,1.3214483,3.435,2180.0,21.8839,5050.8,3.56,2.99
1,86.820714,-72.422611,18.0157,2.524,610.0,21.644,4709.0,,7.61
1,142.521159,-51.517114,9.6837921,2.4006056,4238.2399008,,8598.7,,
1,125.434634,-51.759442,14.2628757,6.9350494,913.2067174,2.4765813,5690.0,4.58,0.853898
1,167.133275,-29.653135,3.2834565,1.537,1558.0,2.87648,4272.0,4.6,0.68
1,167.133275,-29.653135,11.02875,2.715,1694.0,2.76586,4272.0,4.6,0.68
1,167.133275,-29.653135,5.0113292,1.024,1210.0,2.52314,4272.0,4.6,0.68
1,157.098337,-51.705409,1.01606,2.843,240.0,1.20704,4634.0,4.64,0.68
1,88.73909,-65.958839,36.22214,5.107,7170.0,,,,
0,312.457488,-24.428694,3.547854,3.494333,10424.3718,14.581841,6351.0,4.22896,1.4
1,155.831478,-57.590248,12.1246519,4.612,7279.0,17.6729,4807.6,4.17,1.07
1,140.88389,-67.026006,5.652623,3.434,1250.0,8.94354,6415.4,3.98,1.92
1,159.221506,-42.541639,5.6643704,3.8087395,3491.8232968,14.7738943,10395.0,4.13,2.3383701
1,87.282586,-60.498444,29.0160175,5.345,1389.0,6.77406,6113.1,,2.01
1,134.441752,-49.000578,3.6404389,2.5339234,476.3077321,3.7025342,9810.0,4.43,1.60776
1,144.150273,-61.583182,6.0744477,2.4954821,5982.5212406,30.9493217,5964.0,3.7,2.4303801
1,157.867112,-42.240448,3.7795212,2.952,2761.0,5.98375,5771.0,4.31,1.18
1,147.385172,-63.306478,1.2025238,1.991,390.0,6.31106,9158.0,4.32,1.74
1,128.454638,-49.940347,3.2235985,2.159,680.0,5.51341,8904.0,4.09,2.17
1,149.688545,-58.760453,4.420125,3.956,2466.0,,,,
0,319.949697,-58.148933,4.0872956,5.586113,3572.1712499,13.6237732,6036.0,3.93359,2.2186699
1,128.61421,-61.488262,2.55555,1.566,340.0,11.5901,10037.0,,6.04
1,138.402252,-55.19791,8.30792,3.228,8350.0,43.1068,9081.0,3.83,3.05
1,141.975215,-61.33004,0.758082,1.8184632,583.93181,10.1273702,9917.0,3.75,3.5086601
1,128.302319,-52.714202,1.4415577,2.349,507.0,3.61078,6902.0,4.25,1.52
1,153.811023,-58.766393,1.0085089,1.642,3051.0,,5215.2,,
1,159.887704,-32.51188,3.7039994,4.277,7590.0,17.57,7013.8,4.21,1.9
1,126.419468,-60.907514,1.3042553,1.706,914.0,9.36472,6762.0,4.11,1.75
1,144.581535,-67.505097,0.62627,0.666,1880.0,5.72162,5622.0,4.5,0.93
1,136.527702,-54.903922,0.30412,0.748,1330.0,10.417,11892.0,4.14,2.52
0,253.768848,-28.710584,2.1805277,2.969175,16340.1353205,16.808853,6599.0,4.21017,1.2714601
0,337.457824,-48.003099,2.1846669,2.86528,11708.0228549,13.7028527,5630.0,4.37759,1.23824
0,239.962248,-28.061794,3.7354838,4.142,17030.0,21.2315,6650.0,4.1639,1.57
1,40.365939,-71.462749,21.701669,8.2676424,211.6567325,2.3751494,5625.0,4.438,1.56486
0,337.510274,-75.646561,9.139804,3.0912936,358.4157801,3.0629855,5958.2,4.34,1.58
1,290.977117,-33.351416,5.742625,2.860293,1105.760867,13.088532,5664.0,3.26574,3.86959
0,302.114174,-54.317501,15.5077855,4.565,513.0,2.43432,6122.0,4.30881,1.17
0,293.286615,-54.532728,17.4713078,4.4284819,1199.7541483,3.5766828,5783.54,4.49925,0.974669
1,339.258703,-76.917605,5.3079507,3.2158594,391.3830934,3.0486928,6124.3,4.38,1.36963
1,127.996917,-78.407564,51.1701501,6.6641048,851.4547808,2.9366826,5599.0,4.46138,0.943356
1,288.911772,-31.790813,11.1296441,7.0473822,951.6169809,12.8402271,5785.0,4.344,3.4475601
1,269.714503,-60.922727,9.4496506,2.021,19750.0,17.0216,5509.0,4.39758,0.94
0,68.959816,-64.027039,2.8493825,3.567,8049.0,16.3869,6900.0,4.438,1.77
1,299.290995,-48.934476,2.0685633,0.373,502.0,3.89739,5687.9,4.6,1.14
1,284.688908,-41.242483,0.540933,1.674337,257.347459,2.28501,5525.0,4.25342,1.21935
0,38.120968,-78.023683,4.1150576,1.08,487.0,2.30057,5394.0,4.50942,0.89
1,230.555493,-83.056214,10.0665238,2.4023189,839.9044871,2.7272824,5552.0,4.61783,0.791742
